,0,1,2,3,4
175,2.8296,49.8468,[0.00228125],2.8296_49.8468.tif,Ablaincourt-Pressoir
176,2.8324,49.8328,[0.00277216],2.8324_49.8328.tif,Ablaincourt-Pressoir
177,2.8296,49.8398,[1.8102832e-05],2.8296_49.8398.tif,Ablaincourt-Pressoir
178,2.831,49.8468,[3.3594492e-06],2.831_49.8468.tif,Ablaincourt-Pressoir
179,2.8338,49.8328,[0.00189086],2.8338_49.8328.tif,Ablaincourt-Pressoir
180,2.831,49.8398,[1.1910804e-05],2.831_49.8398.tif,Ablaincourt-Pressoir
181,2.8324,49.8468,[4.5507182e-05],2.8324_49.8468.tif,Ablaincourt-Pressoir
182,2.8352,49.8328,[0.00121737],2.8352_49.8328.tif,Ablaincourt-Pressoir
183,2.8324,49.8398,[0.00094543],2.8324_49.8398.tif,Ablaincourt-Pressoir
184,2.8338,49.8468,[0.01362752],2.8338_49.8468.tif,Ablaincourt-Pressoir
185,2.8366,49.8328,[0.00158397],2.8366_49.8328.tif,Ablaincourt-Pressoir
186,2.8338,49.8398,[0.00070236],2.8338_49.8398.tif,Ablaincourt-Pressoir
187,2.8352,49.8468,[0.01570224],2.8352_49.8468.tif,Ablaincourt-Pressoir
188,2.838,49.8328,[0.00233802],2.838_49.8328.tif,Ablaincourt-Pressoir
189,2.8352,49.8398,[0.00067107],2.8352_49.8398.tif,Ablaincourt-Pressoir
190,2.8366,49.8468,[0.00631602],2.8366_49.8468.tif,Ablaincourt-Pressoir
191,2.8394,49.8328,[0.02544995],2.8394_49.8328.tif,Ablaincourt-Pressoir
192,2.8366,49.8398,[0.00363887],2.8366_49.8398.tif,Ablaincourt-Pressoir
193,2.838,49.8468,[0.00067493],2.838_49.8468.tif,Ablaincourt-Pressoir
194,2.81,49.8342,[0.00071675],2.81_49.8342.tif,Ablaincourt-Pressoir
195,2.838,49.8398,[0.00264561],2.838_49.8398.tif,Ablaincourt-Pressoir
196,2.8394,49.8468,[0.00188336],2.8394_49.8468.tif,Ablaincourt-Pressoir
197,2.8114,49.8342,[0.00069049],2.8114_49.8342.tif,Ablaincourt-Pressoir
198,2.8394,49.8398,[0.00208466],2.8394_49.8398.tif,Ablaincourt-Pressoir
199,2.8128,49.8342,[0.00062512],2.8128_49.8342.tif,Ablaincourt-Pressoir
200,2.81,49.8482,[0.00328335],2.81_49.8482.tif,Ablaincourt-Pressoir
201,2.81,49.8412,[0.06576177],2.81_49.8412.tif,Ablaincourt-Pressoir
202,2.8142,49.8342,[0.0084556],2.8142_49.8342.tif,Ablaincourt-Pressoir
